trial,sl_mult,min_return,max_holding,sharpe_per_trade,total_return_pct,win_rate,n_trades,valid,label_total,label_count_-1,label_count_0,label_count_1,label_pct_-1,label_pct_0,label_pct_1
94,2.489764688363282,0.000935026204749179,43,,,,,False,794141,341363,136737,316041,42.98518776892264,17.218226989917408,39.796585241159946
95,2.2902023110065146,0.0008366682830239649,46,,,,,False,794141,362902,108783,322456,45.69742652753101,13.698197171535028,40.604376300933964
96,2.2478896477073502,0.0008908595706826636,44,,,,,False,794141,323124,154737,316280,40.688492345817686,19.484827001754095,39.82668065242822
97,2.3890718476582005,0.0005780211029813116,42,,,,,False,794141,449467,15829,328845,56.59788375112228,1.9932228659646083,41.40889338291311
98,1.0357096736221891,0.0009593037622342912,52,,,,,False,794141,50127,652125,91889,6.31210326629654,82.11702959550004,11.570867138203417
99,2.1089560184127536,0.0008664002469723471,50,2004.6639836862478,84161.13747110398,1.0,625930.0,True,794141,309750,168211,316180,39.004408537023025,21.181503032836737,39.81408843014024
100,2.18200401460618,0.0009229531158493614,44,2011.303276139131,83800.23914015641,1.0,599030.0,True,794141,288912,195111,310118,36.38044125665342,24.56881082830379,39.05074791504279
101,2.342717062257612,0.0009406196501286925,59,1991.9252791866993,92048.26378481514,1.0,631047.0,True,794141,315054,163094,315993,39.67230000717757,20.53715901836072,39.79054097446171
102,2.226817178937275,0.000980168406133426,41,1991.2068030804523,81582.79624985451,1.0,563357.0,True,794141,261615,230784,301742,32.943142338703076,29.060834285095467,37.99602337620146
103,2.0702290195611304,0.0009518159281904458,48,1919.01815238065,75570.53052221469,1.0,543469.0,True,794141,244543,250672,298926,30.79339814969886,31.56517545372925,37.641426396571894
104,2.29856564740976,0.0009992193169189802,46,1973.3499357543922,84565.023351459,1.0,570699.0,True,794141,266942,223442,303757,33.613930019983854,28.13631332471186,38.24975665530428
105,2.145424316756835,0.0009078216471342543,40,2002.9322208515873,82557.32697598373,1.0,598877.0,True,794141,289222,195264,309655,36.41947714574616,24.5880769284044,38.99244592584944
106,2.238890952247693,0.0008947219281538903,43,2042.4014327746552,88588.48739698404,1.0,633893.0,True,794141,318566,160248,315327,40.11453885393148,20.178784372044763,39.706676774023755
